Year,Country,Average Temp
1993,Germany,0.4052352941176471
1994,Germany,1.6501176470588232
1995,Germany,1.0026470588235292
1996,Germany,-0.7176470588235294
1997,Germany,0.8088823529411764
1998,Germany,1.078764705882353
1999,Germany,1.4294705882352943
2000,Germany,1.8297058823529413
2001,Germany,1.0815882352941177
2002,Germany,1.5370000000000001
2003,Germany,1.334529411764706
2004,Germany,0.9523529411764706
2005,Germany,0.995764705882353
2006,Germany,1.4719411764705883
2007,Germany,1.9213529411764705
2008,Germany,1.5094117647058827
2009,Germany,1.2311764705882353
2010,Germany,-0.03876470588235289
2011,Germany,1.5585882352941178
2012,Germany,1.2008235294117648
2013,Germany,0.7108823529411764
2014,Germany,2.4560588235294114
2015,Germany,1.9000588235294118
2016,Germany,1.7475882352941177
2017,Germany,1.658
2018,Germany,2.461588235294118
2019,Germany,2.3379411764705886
1961,India,-0.37335294117647055
1962,India,-0.45394117647058824
1963,India,-0.02576470588235294
1964,India,-0.029823529411764714
1965,India,-0.043352941176470594
1966,India,0.2683529411764706
1967,India,-0.16023529411764703
1968,India,-0.27276470588235296
1969,India,0.3195882352941176
1970,India,-0.019176470588235284
1971,India,-0.4692941176470588
1972,India,0.07464705882352941
1973,India,0.26594117647058824
1974,India,-0.002764705882352938
1975,India,0.05358823529411766
1976,India,
1977,India,0.12635294117647058
1978,India,-0.17594117647058824
1979,India,0.30741176470588233
1980,India,0.36735294117647066
1981,India,0.007764705882352946
1982,India,-0.026470588235294152
1983,India,-0.25582352941176467
1984,India,-0.12370588235294117
1985,India,0.161
1986,India,0.07688235294117647
1987,India,0.5251764705882354
1988,India,0.4504705882352941
1989,India,-0.1291764705882353
1990,India,-0.11176470588235295
1991,India,0.08082352941176472
1992,India,-0.03047058823529411
1993,India,0.13564705882352943
1994,India,-0.00029411764705881776
1995,India,0.17494117647058824
1996,India,0.1901176470588235
1997,India,-0.16494117647058826
1998,India,0.5144117647058823
1999,India,0.3799411764705882
2000,India,0.2898823529411765
2001,India,0.4171176470588235
2002,India,0.7636470588235293
2003,India,0.5313529411764706
2004,India,0.5025294117647059
2005,India,0.42947058823529416
2006,India,0.6324117647058823
2007,India,0.487
2008,India,0.23335294117647057
2009,India,0.9940588235294118
2010,India,0.955
2011,India,0.27788235294117647
2012,India,0.3695294117647059
2013,India,0.28047058823529414
2014,India,0.399235294117647
2015,India,0.6460588235294118
2016,India,0.9835882352941177
2017,India,0.8454705882352942
2018,India,0.728764705882353
2019,India,0.6777647058823529
1961,Mongolia,0.23941176470588238
1962,Mongolia,0.19064705882352942
1963,Mongolia,1.045705882352941
1964,Mongolia,-0.23088235294117648
1965,Mongolia,0.7588235294117647
1966,Mongolia,0.11194117647058825
1967,Mongolia,-0.35694117647058826
1968,Mongolia,-0.5397058823529413
1969,Mongolia,-0.9445294117647058
1970,Mongolia,-0.35558823529411765
1971,Mongolia,0.0475294117647059
1972,Mongolia,0.31376470588235295
